arch,layer,K,O,S,IC,OC
resnet50,conv1,7,112,2,3,64
resnet50,layer1.0.conv1,1,56,1,64,64
resnet50,layer1.0.conv2,3,56,1,64,64
resnet50,layer1.0.conv3,1,56,1,64,256
resnet50,layer1.0.downsample.0,1,56,1,64,256
resnet50,layer1.1.conv1,1,56,1,256,64
resnet50,layer1.1.conv2,3,56,1,64,64
resnet50,layer1.1.conv3,1,56,1,64,256
resnet50,layer1.2.conv1,1,56,1,256,64
resnet50,layer1.2.conv2,3,56,1,64,64
resnet50,layer1.2.conv3,1,56,1,64,256
resnet50,layer2.0.conv1,1,56,1,256,128
resnet50,layer2.0.conv2,3,28,2,128,128
resnet50,layer2.0.conv3,1,28,1,128,512
resnet50,layer2.0.downsample.0,1,28,2,256,512
resnet50,layer2.1.conv1,1,28,1,512,128
resnet50,layer2.1.conv2,3,28,1,128,128
resnet50,layer2.1.conv3,1,28,1,128,512
resnet50,layer2.2.conv1,1,28,1,512,128
resnet50,layer2.2.conv2,3,28,1,128,128
resnet50,layer2.2.conv3,1,28,1,128,512
resnet50,layer2.3.conv1,1,28,1,512,128
resnet50,layer2.3.conv2,3,28,1,128,128
resnet50,layer2.3.conv3,1,28,1,128,512
resnet50,layer3.0.conv1,1,28,1,512,256
resnet50,layer3.0.conv2,3,14,2,256,256
resnet50,layer3.0.conv3,1,14,1,256,1024
resnet50,layer3.0.downsample.0,1,14,2,512,1024
resnet50,layer3.1.conv1,1,14,1,1024,256
resnet50,layer3.1.conv2,3,14,1,256,256
resnet50,layer3.1.conv3,1,14,1,256,1024
resnet50,layer3.2.conv1,1,14,1,1024,256
resnet50,layer3.2.conv2,3,14,1,256,256
resnet50,layer3.2.conv3,1,14,1,256,1024
resnet50,layer3.3.conv1,1,14,1,1024,256
resnet50,layer3.3.conv2,3,14,1,256,256
resnet50,layer3.3.conv3,1,14,1,256,1024
resnet50,layer3.4.conv1,1,14,1,1024,256
resnet50,layer3.4.conv2,3,14,1,256,256
resnet50,layer3.4.conv3,1,14,1,256,1024
resnet50,layer3.5.conv1,1,14,1,1024,256
resnet50,layer3.5.conv2,3,14,1,256,256
resnet50,layer3.5.conv3,1,14,1,256,1024
resnet50,layer4.0.conv1,1,14,1,1024,512
resnet50,layer4.0.conv2,3,7,2,512,512
resnet50,layer4.0.conv3,1,7,1,512,2048
resnet50,layer4.0.downsample.0,1,7,2,1024,2048
resnet50,layer4.1.conv1,1,7,1,2048,512
resnet50,layer4.1.conv2,3,7,1,512,512
resnet50,layer4.1.conv3,1,7,1,512,2048
resnet50,layer4.2.conv1,1,7,1,2048,512
resnet50,layer4.2.conv2,3,7,1,512,512
resnet50,layer4.2.conv3,1,7,1,512,2048
